"IDSCHOOL","IDTEACH","TT3G01","TCHAGEGR","T3JOBSA","T3WLOAD","T3SELF","SCHLOC","T3PLACRE"
"3052","305211","1","4",9.11817645308368,9.5172454773583,12.3323935377595,"2","1"
"3052","305212","1","5",14.8845003041232,9.362604469799,15.5092644957646,"2","1"
"3052","305213","1","6",11.1872123291103,10.5033620473023,11.7232186613462,"2","1"
"3052","305214","2","6",11.3765303042273,13.7866819904112,12.0841069262763,"2","1"
"3052","305215","1","4",10.0513044784083,6.21375496804609,12.2884114642378,"2","1"
"3052","305216","1","4",13.8495433002501,9.6696453108951,11.2662537037369,"2","1"
"3052","305217","1","4",10.2878575387771,10.5907678341837,12.8001554500179,"2","1"
"3052","305218","1","3",11.766757150897,6.1173844850743,11.2662537037369,"2","1"
"3052","305219","1","3",12.8691801896736,8.84713444460098,11.2662537037369,"2","1"
"3052","305220","1","4",11.3765303042273,9.362604469799,10.4267412327191,"2","1"
"3053","305301","1","5",15.1262343951665,6.1173844850743,15.1835093986515,"2","2"
"3053","305302","1","4",11.3765303042273,11.7023901493933,11.7232186613462,"2","2"
"3053","305303","2","6",11.3765303042273,10.9179792414833,14.4672680346477,"2","2"
"3053","305304","1","5",12.0084912419403,7.66827690871343,13.3855600103763,"2","2"
"3053","305305","2","3",14.2843494442285,9.9968567181947,14.6879457934687,"2","2"
"3053","305306","1","4",12.8154644280965,7.44640068047604,13.4074404629603,"2","2"
"3053","305307","1","5",11.1872123291103,11.9690898580826,12.9324946812545,"2","2"
"3053","305308","1","6",NA,14.3805931064001,14.650613651772,"2","2"
"3053","305309","1","5",9.190615530675,8.81799918230718,11.5703495523718,"2","2"
"3053","305310","1","4",12.3031776532267,12.2447542628624,15.5092644957646,"2","2"
"3053","305311","1","6",11.766757150897,9.00177545216037,12.5263576533042,"2","2"
"3053","305312","1","5",11.598045213888,10.1514977257541,10.9542017579764,"2","2"
"3053","305313","1","3",12.6463774026311,10.1985623802287,13.9154560198108,"2","2"
"3053","305314","1","5",13.767235334356,9.2483045946464,15.3186631091559,"2","2"
"3053","305315","1","5",11.1537275171848,11.7023901493933,12.2361096653116,"2","2"
"3053","305316","1","6",14.4942734574534,9.362604469799,14.5612124919578,"2","2"
"3053","305317","1","4",14.7475984449325,9.362604469799,13.8283734177292,"2","2"
"3053","305318","1","5",13.5914596445788,10.7655794079465,11.2662537037369,"2","2"
"3053","305319","1","5",11.4083403820456,6.0882492227805,12.2404312580939,"2","2"
"3053","305320","1","6",8.76661544901385,8.81799918230718,10.8725989788516,"2","2"
"3054","305401","2","5",11.8087489251732,8.58043473591159,11.3945388911605,"2","1"
"3054","305403","1","4",13.5914596445788,9.02194601836377,12.0162072985043,"2","1"
"3054","305404","1","6",8.34910566819332,11.978054554173,15.5092644957646,"2","1"
"3054","305405","1","3",11.3765303042273,11.4244845705909,11.0756523171281,"2","1"
"3054","305406","1","5",11.766757150897,7.45536537656644,12.6330165161063,"2","1"
"3054","305407","1","5",11.8191732668234,12.3993952704218,14.9250083842707,"2","1"
"3054","305408","1","6",9.20566544965216,8.97264018986657,11.2662537037369,"2","1"
"3054","305409","1","3",NA,NA,NA,"2","1"
"3054","305410","2","4",11.1334965675332,12.370260008128,12.0605071207744,"2","1"
"3054","305411","1","5",NA,NA,14.5862595998258,"2","1"
"3054","305412","1","6",11.3765303042273,9.01970484434117,11.3729831164052,"2","1"
"3054","305413","1","6",11.3765303042273,9.7839451860477,9.88960664749007,"2","1"
"3054","305414","1","6",12.7004682526646,10.3128622553813,14.4787206759505,"2","1"
"3054","305415","2","5",11.5237234142029,8.81799918230718,12.5340813184587,"2","1"
"3054","305416","1","5",12.5233929172366,9.12504002340337,12.0809589818665,"2","1"
"3054","305417","1","5",11.3765303042273,9.06901067283837,13.2749739674665,"2","1"
"3054","305419","1","6",11.1872123291103,9.5172454773583,13.4239304448444,"2","1"
"3054","305420","1","5",11.766757150897,11.85478998293,11.7232186613462,"2","1"
"3055","305501","1","5",14.6938826833554,9.3917397320928,12.1958837257166,"2","2"
"3055","305502","2","4",8.98569218323335,6.0882492227805,10.53466535359,"2","2"
"3055","305503","1","5",11.388121200663,5.9649846515375,13.041922012036,"2","2"
"3055","305504","2","4",12.4503707632023,11.0860672931783,12.2967975235509,"2","2"
"3055","305505","1","5",12.9364382365905,6.35719010549249,13.4017045227817,"2","2"
"3055","305506","1","6",12.9364382365905,6.35719010549249,13.8808954024538,"2","2"
"3055","305507","1","5",11.7856884548979,10.5123267433927,11.6225247507553,"2","2"
"3055","305508","1","5",11.1872123291103,10.2837269930875,12.5065053896531,"2","2"
"3055","305509","1","4",9.86198650329126,11.7023901493933,9.27394871914986,"2","2"
"3055","305510","1","3",12.9594987068658,11.978054554173,11.8301695261699,"2","2"
"3055","305511","1","3",10.1037205943346,10.2635564268841,11.2662537037369,"2","2"
